Geneid	Chr	Start	End	Strand	Length	sample1	sample2	sample3	sample4
YDL246C	IV	8683	9756	-	1074	1	1	3	0
YDL243C	IV	17577	18566	-	990	31	26	38	43
YDR387C	IV	1248154	1249821	-	1668	65	53	98	106
YDL094C	IV	289572	290081	-	510	0	0	1	8
YDR438W	IV	1338274	1339386	+	1113	9	35	53	53
YDR523C	IV	1485566	1487038	-	1473	1	4	2	6
YDR542W	IV	1523249	1523611	+	363	0	0	1	1
YDR492W	IV	1434924	1435874	+	951	75	69	100	89
YDR018C	IV	482670	483860	-	1191	3	8	31	30
YDL189W	IV	122216	123589	+	1374	100	85	177	161
YDR508C	IV	1466453	1468444	-	1992	205	180	258	304
YDR462W	IV	1386073	1386516	+	444	41	49	53	67
YDR175C	IV	813193	814152	-	960	53	55	81	89
YDR186C	IV	832859	835492	-	2634	144	120	183	179
YDR150W	IV	755628	763874	+	8247	126	106	256	251
YDR243C	IV	948518	950284	-	1767	14	16	29	35
YDL182W	IV	133437	134723	+	1287	263	232	138	177
YDR362C	IV	1196679	1198697	-	2019	37	27	47	57
YDR232W	IV	927452	929098	+	1647	189	185	203	236
YDR158W	IV	770357	771454	+	1098	491	469	954	1021
YDR439W	IV	1339676	1340719	+	1044	24	15	39	29
YDL206W	IV	90176	92464	+	2289	17	23	60	61
YDR125C	IV	701397	702758	-	1362	10	7	7	17
YDR338C	IV	1147379	1149466	-	2088	39	31	65	70
YDR526C	IV	1491075	1491545	-	471	0	0	0	0
YDR533C	IV	1501447	1502160	-	714	23	16	29	36
YDR272W	IV	1009010	1009834	+	825	54	49	139	148
YDR197W	IV	851228	852397	+	1170	14	21	41	37
YDR512C	IV	1470500	1471063	-	564	24	25	79	70
YDR489W	IV	1431012	1431896	+	885	15	22	55	49
YDR299W	IV	1059627	1061231	+	1605	12	16	15	12
YDL015C	IV	426002	426934	-	933	119	118	205	251
YDR304C	IV	1071880	1072557	-	678	223	205	396	407
YDR271C	IV	1008395	1008766	-	372	0	0	0	0
YDL181W	IV	135179	135436	+	258	22	41	44	57
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	29	26	66	93
YDR085C	IV	614288	616150	-	1863	90	96	84	92
YDL097C	IV	285391	286695	-	1305	327	334	540	582
YDL139C	IV	211375	212046	-	672	23	14	35	44
YDR200C	IV	854279	856093	-	1815	42	20	83	60
YDR191W	IV	842337	843449	+	1113	7	9	24	27
YDR451C	IV	1361120	1362181	-	1062	44	44	33	44
YDR469W	IV	1399015	1399542	+	528	43	28	79	84
YDR470C	IV	1399706	1401214	-	1509	42	39	59	73
YDR105C	IV	665349	666770	-	1422	66	49	103	116
YDR483W	IV	1421157	1422485	+	1329	274	235	440	502
YDL123W	IV	241418	241840	+	423	41	41	77	70
YDL199C	IV	101290	103353	-	2064	11	21	47	55
YDR505C	IV	1456695	1459220	-	2526	82	70	94	81
YDL045W-A	IV	372248	372535	+	288	32	32	65	49
YDL045C	IV	372688	373608	-	921	56	45	118	107
YDR361C	IV	1195412	1196263	-	852	41	34	55	49
YDR406W-A	IV	1283799	1284044	+	246	1	1	0	0
YDR199W	IV	854175	854540	+	366	0	2	4	2
YDR266C	IV	1000104	1002023	-	1920	41	42	68	97
YDL242W	IV	18959	19312	+	354	4	4	5	2
YDR002W	IV	453045	453650	+	606	396	353	628	696
YDR214W	IV	892875	893927	+	1053	126	130	211	188
YDR130C	IV	715747	716622	-	876	23	22	36	34
YDL176W	IV	142097	144223	+	2127	21	37	44	56
YDR358W	IV	1190059	1191732	+	1674	77	99	155	175
YDR544C	IV	1525095	1525523	-	429	0	0	0	0
YDR460W	IV	1383811	1384776	+	966	41	50	95	95
snR84	IV	1492477	1493026	-	550	11	5	15	7
YDR034W-B	IV	521314	521469	+	156	5	4	15	4
YDL028C	IV	400997	403291	-	2295	29	22	66	60
YDR061W	IV	574164	575783	+	1620	46	49	81	92
YDR060W	IV	570649	573726	+	3078	85	74	87	111
YDR169C-A	IV	794574	794723	-	150	1	0	2	0
YDR363W	IV	1199183	1200553	+	1371	28	22	65	61
YDR422C	IV	1315326	1317773	-	2448	60	41	73	95
YDR119W	IV	688227	690533	+	2307	68	66	99	122
tR(ACG)D	IV	619969	620041	-	73	0	0	0	0
YDR097C	IV	640109	643837	-	3729	33	36	69	81
YDR042C	IV	540601	541203	-	603	0	0	2	7
YDL160C	IV	170410	171930	-	1521	105	100	151	150
YDR425W	IV	1320064	1321941	+	1878	33	24	42	46
snR13	IV	1402919	1403042	+	124	1	0	3	1
YDR228C	IV	921926	923806	-	1881	37	42	74	78
YDR319C	IV	1105003	1105827	-	825	34	29	88	83
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	594	537	858	913
YDR089W	IV	622112	624721	+	2610	92	90	30	34
tD(GUC)D	IV	568964	569035	+	72	0	0	0	0
YDR275W	IV	1012252	1012959	+	708	43	28	52	60
YDR043C	IV	542674	543369	-	696	13	14	41	35
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	524	439	688	732
YDR136C	IV	727711	728283	-	573	2	1	0	1
YDL066W	IV	334835	336121	+	1287	201	172	294	321
YDR302W	IV	1067731	1068390	+	660	26	23	51	49
YDR239C	IV	941057	943420	-	2364	28	26	49	52
YDR539W	IV	1512094	1513605	+	1512	55	67	69	74
tK(CUU)D1	IV	1201750	1201822	+	73	0	0	0	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	245	240	391	488
YDR493W	IV	1436217	1436588	+	372	14	16	21	33
